sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen
107088,12/4C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107089,12/5C FREP/CPE N/S 600V M1/E1,Cables especiales,Cables apantallados,,12,5,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107090,12/7C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,7,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107091,12/12C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,12,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107092,14/2C FREP/CPE N/S Cable para bandeja E1 600V TC Flat,Cables especiales,Cable para bandeja / tray cable,,14,2,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107093,14/3C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107094,14/4C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107095,14/5C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,5,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107096,14/7C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,7,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107097,14/9C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,9,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107098,14/12C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,12,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107099,16/3C FREP/CPE Shielded Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,16,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107100,18/2C FREP/CPE SHLD 600V M1/E2,Cables especiales,Cables apantallados,,18,2,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107101,2/3C FREP/CPE N/S Cable para bandeja M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,2,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107102,2/4C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,2,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107103,4/3C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,4,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107104,4/4C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,4,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107105,6/3C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,6,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107106,6/4C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,6,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107107,8/3C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,8,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107108,8/4C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,8,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107109,1/0-3C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,1/0,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107110,2/0-3C FREP/CPE N/S Cable para bandeja M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,2/0,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107111,350/3C FREP/CPE M4 600V TC-ER,Cables especiales,Cable para bandeja / tray cable,,350 MCM,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107112,500/3C FREP/CPE N/S Cable para bandeja w/G M4 600V ER,Cables especiales,Cable para bandeja / tray cable,,500 MCM,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107113,16/1TR OS W/DRAIN FREP/CPE,Cables especiales,Cables apantallados,,16,1,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107114,16/3TR STOS W/DRAIN FREP/CPE,Cables especiales,Cables apantallados,,16,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
