sku,nombre,estado_staging,source_key,nota_staging
SRT-PENDING-A6602A7A1353,Pendiente de verificación - Cable Fibra Optica LSZH 2 Núcleos Rollo 100m,pendiente_investigacion,CC-CABLE-FIBRA-OPTICA-LSZH-2-NUCLEOS-ROLLO-100M,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-99E26045D3D7,Pendiente de verificación - Cable Fibra Optica LSZH 1 Núcleo Rollo 100m,pendiente_investigacion,CC-CABLE-FIBRA-OPTICA-LSZH-1-NUCLEO-ROLLO-100M,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-DFC1513D0C3E,Pendiente de verificación - Cable Fibra Adss 24 Hilos - *2 Km (Uso Exterior - Span 100),pendiente_investigacion,CC-CABLE-FIBRA-ADSS-24-HILOS-2-KM-USO-EXTERIOR-SPAN-100,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-095A03DF0197,Pendiente de verificación - Cable Fibra Adss 12 Hilos - *2 Km (Uso Exterior - Span 100),pendiente_investigacion,CC-CABLE-FIBRA-ADSS-12-HILOS-2-KM-USO-EXTERIOR-SPAN-100,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-28C87BA093A9,Pendiente de verificación - Cable Fibra Adss 6 Hilos - *2 Km (Uso Exterior - Span 100),pendiente_investigacion,CC-CABLE-FIBRA-ADSS-6-HILOS-2-KM-USO-EXTERIOR-SPAN-100,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-AF3507515DDF,Pendiente de verificación - Cable Fibra Drop 2 Hilos Con Mensajero - * 1Km (Uso Exterior - Lszh),pendiente_investigacion,CC-CABLE-FIBRA-DROP-2-HILOS-CON-MENSAJERO-1KM-USO-EXTERIOR-LSZH,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9BEC9FA35927,Pendiente de verificación - Cable Fibra Drop 1 Hilo Con Mensajero - * 1Km (Uso Exterior - Lszh),pendiente_investigacion,CC-CABLE-FIBRA-DROP-1-HILO-CON-MENSAJERO-1KM-USO-EXTERIOR-LSZH,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-A1412AE78FD3,Pendiente de verificación - Cable Solar Fotovoltaico 4Mm2,pendiente_investigacion,CC-CABLE-SOLAR-FOTOVOLTAICO-4MM2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-805721FBF6F1,Pendiente de verificación - Cable Solar Fotovoltaico 6Mm2,pendiente_investigacion,CC-CABLE-SOLAR-FOTOVOLTAICO-6MM2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9A88679D8AD6,Pendiente de verificación - Cable Solar Fotovoltaico 10Mm2,pendiente_investigacion,CC-CABLE-SOLAR-FOTOVOLTAICO-10MM2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
