sku,nombre_provisional,estado_staging,marca,referencia_fabricante,enlace_producto_oficial,enlace_ficha_tecnica,enlace_imagen_directa,estado_derechos_imagen,referencia_permiso_imagen,datos_confirmados,observaciones
SRT-ENCAU-5x16AWG-CU,Pendiente de verificación - Cable Encauchetado 5X16 AWG Cu,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-PENDING-79A2BDF66D2B,Pendiente de verificación - Cable Encauchetado 3X10 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-93AC5F0F0161,Pendiente de verificación - Cable Encauchetado 3X12 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-E11C429FBC9C,Pendiente de verificación - Cable Encauchetado 3X14 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-9C954DF4F63F,Pendiente de verificación - Cable Encauchetado 3X16 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F5F1E89CBB39,Pendiente de verificación - Cable Encauchetado 3X18 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8851C823D3C1,Pendiente de verificación - Cable Encauchetado 4X8 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-9E30CCD48105,Pendiente de verificación - Cable Encauchetado 4X10 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-69DA3B02F573,Pendiente de verificación - Cable Encauchetado 4X12 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-5DC320A76AD7,Pendiente de verificación - Cable Encauchetado 4X14 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-19640B390520,Pendiente de verificación - Cable Encauchetado 4X16 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-D23957217C5F,Pendiente de verificación - Cable Encauchetado 4X18 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-AF3A85B543EB,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 2X18AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-5FB84384A44F,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 3X18AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8BD8E77FFE26,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 4X18AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-B33C9EA4395B,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 2X16AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-60380DD3295A,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 3X16AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-99CACFBA8491,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 4X16AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-EF31466FE03C,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 2X14AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-5A5C2682E16C,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 3X14AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F53EF417439D,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 4X14AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-2FAD996C1713,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 2X12AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-AB3433A8A279,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 3X12AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-64F6D52D1104,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 4X12AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F599C358F081,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 2X10AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-C11966418B2F,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 3X10AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-54C0621797BA,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 4X10AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-745B2E9EFC41,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 2X8AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A23F84BEAF24,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 3X8AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-48317269D40B,Pendiente de verificación - Cable Encauchetado Libre De Halogenos STF LS 4X8AWG,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-23FC537018EE,Pendiente de verificación - Cable Dúplex Polarizado 2X10 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-E0C7582D9DF4,Pendiente de verificación - Cable Dúplex Polarizado 2X12 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-FC14EDD12C47,Pendiente de verificación - Cable Dúplex Polarizado 2X14 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-197AD43647B6,Pendiente de verificación - Cable Duplex Polarizado 2X16 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-EAF6D9A252F8,Pendiente de verificación - Cable Dúplex Polarizado 2X18 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A318A86A3026,Pendiente de verificación - Cable Dúplex Polarizado 2X20 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-AA8592B17B19,Pendiente de verificación - Cable Duplex 2X10 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-38D59C99D61B,Pendiente de verificación - Cable Duplex 2X12 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-DA4E2A0F5D22,Pendiente de verificación - Cable Duplex 2X14 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A787A4628636,Pendiente de verificación - Cable Duplex 2X16 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-93FB91870A58,Pendiente de verificación - Cable Duplex 2X18 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-41FBFE6E73E8,Pendiente de verificación - Cable Duplex 2X14 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-2C19362BAAE5,Pendiente de verificación - Cable Duplex 2X16 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-32E3F97E7A37,Pendiente de verificación - Cable Duplex Desoxigenado N10 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-025FBE5A4E6A,Pendiente de verificación - Cable Duplex Desoxigenado N12 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-9A6072001869,Pendiente de verificación - Cable Duplex Desoxigenado N14 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-BB6C17498CE3,Pendiente de verificación - Cable Duplex Desoxigenado N16 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-9DE2ECCC6E24,Pendiente de verificación - Cable Duplex Desoxigenado N18 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-71B6AC43BD2A,Pendiente de verificación - Cable Duplex Desoxigenado N22 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-098875622BFE,Pendiente de verificación - Cable Duplex Desoxigenado N20 Cu - Al,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-6D85330E7595,Pendiente de verificación - Cable Duplex Cristal 2X20 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-BE050281F599,Pendiente de verificación - Cable Duplex Cristal 2X16 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-DA37AC5700DE,Pendiente de verificación - Cable Duplex Cristal 2X14 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-BD7A7E1B007A,Pendiente de verificación - Cable Duplex Cristal 2X12 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-1F5C990D1A3D,Pendiente de verificación - Cable Duplex Cristal 2X22 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F6E3F9037813,Pendiente de verificación - Cable Duplex Cristal 2X10 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F303325FA0CC,Pendiente de verificación - Cable Duplex Cristal 2X18 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-618220FAA1AB,Pendiente de verificación - Cable Aluminio 6 Awg Serie 8000,pendiente_investigacion,,,,,,pendiente,,pendiente,
